Title,Description,assistant,senior,associate,director,entry,executive,supervisor,sr,lead,trainee,leader,experienced,intern,president,owner,junior,principal,vice,jr,chief,student,vp,exec,supv,dir,executives,avp,associat,associa,supervisors,sup,supervising,seniors,principals,superviosr,execuitve
ekg tech ii,under indirect supervision operates in an in or out patient setting an electrocardiograph in order to record the actions of the heart muscle for use in the diagnosis of heart ailments assists w cardiology procedures including but not limited to ambulatory ekg monitoring scanning exercise stress testing pacemaker monitoring also performs related functions including clerical duties maintaining equipment other duties responds to emergency situations as required,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
senior mechanical design engineer,water pik inc a leading manufacturer of consumer oral care devices and showerheads located in fort collins co is seeking a senior mechanical design engineer to join our team as we look to expand our design and development of new products,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software developer senior,products we develop the comotion software platform which applies rich collaboration and visualization capabilities to various domains cpof is our army product built on comotion that provides command and control capabilities we improve our users experience by allowing them to visualize analyze share and manipulate their data within one intuitive interface our software is versatile enough to support tactical operations while maintaining opportunities for mobile technologies or other industry trends environment the pittsburgh office is strategically located near carnegie mellon university and the university of pittsburgh allowing for collaborative opportunities with leaders in computer science engineering and health care you ll work in a casual highly collaborative office environment and with team members who possess a wide range of software development visual design and human computer interaction knowledge our software developers are highly invested in our technology and contribute to the strategic direction of our product development and our customer relations responsibilities as a member of the cpof development team you ll be responsible for the design and development of a feature rich user focused successfully deployed product you must demonstrate the ability to provide strong technical contribution as an individual designer the developer plans designs develops and tests software systems or applications for software enhancements and new related products other responsibilities include ï¿½ applies the appropriate standards processes procedures and tools throughout the system development life cycle to support the generation of technical engineering products ï¿½ researches and analyzes data such as customer design proposal specifications and manuals to determine feasibility of design or application ï¿½ makes significant contributions to team oriented discussions and planning initiatives ï¿½ supports continuous improvement initiatives and promotes process policy compliance ï¿½ plans and executes significant project tasks or other small projects ï¿½ shows the ability to lead and to take on technologically challenging tasks ï¿½ works to optimize tasks and resources in support of multiple projects ï¿½ fully understands process applications within domain of expertise ï¿½ begins to provide mentoring to less experienced engineers ï¿½ begins to support proposals the following skills knowledge is required ï¿½ b s in computer science or a related field ï¿½ 5 years development experience with java preferred or c ï¿½ exposure to object oriented programming ï¿½ strong computer science theory background e g data structures algorithms computational complexity ï¿½ appreciation for user centric design ï¿½ attention to quality other beneficial experience ï¿½ hci coursework ï¿½ information visualization ï¿½ direct manipulation user interfaces ï¿½ experience building large scale mission critical applications ï¿½ experience with distributed systems ï¿½ experience building multi threaded systems ï¿½ data modeling must be able to travel 20 of the time applicant must be capable of obtaining a us security clearance applicant must be a us citizen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life insurance sales from home free leads,life insurance sales from home free leads unique and exclusive to you work from your own home or office choose your own days and hours make 50 000 150 000 per year we provide you with free leads and you get paid 23 per hour actual talk time for first 2 months plus 50 per submission at time application is submitted plus huge 30 commission payouts on sold cases no cold calls no automobile costs no wardrobe costs life quotes inc founded 1984 is a 1 rated national seller of term life insurance this job is perfect for life insurance agents brokers financial planners and financial advisors who want to work from home work your own days and hours and make a great income this is a telephone sales gig where you will work our leads using our scripts and procedures on recorded phone calls our call center is very fast paced so keep that in mind as you decide if this is right for you we sell 14 500 new life policies per year and we re looking to expand our home based life insurance salesforce beyond our current 100 agents you must be competent trustworthy nice and thorough we represent 30 highly rated companies and we re now looking to appoint a few highly qualified and experienced independent life insurance agents to work our fresh and exclusive life insurance leads from your own home or office for parents with kids this is the ultimate part time job there is no cold calling as you will be handling only detailed leads from our website or inbound phone calls there are no lead costs to you and all leads are real fresh and 100 exclusive to you if you have one or more years experience in selling life insurance and can commit 30 hours per week minimum during the day to this independent agent program whereby you will be working our leads using our scripts and procedures on recorded calls please keep reading our outside agent program and it is exciting especially if you want the freedom to work from home on the days and hours of your choosing subject to 30 hrs per week minimum our national ad campaigns and selected business partners produce up to 750 fresh life insurance leads per day this means that we need experienced life insurance agents to help us handle the load perhaps you ve seen our term life ads in forbes kiplinger s smartmoney fortune usa today and money magazines our average policy face value sold is 375 000 and our average first year premium is 750 most of our sales involve you setting a paramed exam fifty percent of our customers buy 20 year level term life policies under this program you ll work our leads using our scripts and procedures on our phone system with all calls being recorded you ll log into our telephone system from your home or office and work fresh life leads on an inbound and outbound basis we ll teach you how to do this in a 15 hour webinar course which is free ongoing training and sales support after that is also always available and free our dialer makes both outbound calls to our website visitors and it also accepts inbound calls from prospects who are calling us for quotes so you will be busy perhaps talking to 50 75 people per day you are free to work the days and hours you want again all with no cold calling and no lead costs to you you must hold a valid life insurance license be able to pass 3 4 hours of general aptitude tests pass our background checks and have 1 million e o if accepted we ll then even pay you 10 during training which lasts one week earnings example 1 part time say you sold 15 policies per month at 700 apiece and let s our average commission was 105 on those sales you d then make 210 per policy sold or 3 300 that month or 40 000 per year without including start up talk time or the 50 per submit payouts all with no office lead or marketing costs all commissions are paid on actual earned commissions that we receive so if the customer pays annually we pay out the full commission to you earnings example 2 full time say you sold 2 policies per day or 40 per month and earned 210 per policy not including 23 per hour start up payments or 50 per submit payments that comes to 8 400 in monthly earnings or 101 000 on an annualized basis again not including the 23 per hour talk time payments and the 50 per submit payments remember the above earnings calculations includes us paying you 23 per hour of actual talk time during your first 2 months of training or the 50 per submit payouts if you talked for 30 hours per week during your first 60 days you ll pocket a cool 5 900 in talk time payments alone during your first 60 days see outside agreement for more compensation details you ll have a dedicated sales manager at this end and all calls are recorded and quality graded under this program ownership of all leads and customers remains with us at all times because you are working our leads and customers and we ll give you 15 hours of free initial training and all the ongoing training you need again always for free on this program you ll handle both inbound and outbound calls on our master phone system that automatically allocates fresh and exclusive life leads to you when you are logged in and in ready mode sound simple our national ads generate up to 750 fresh life leads per day so the lines are active in fact we ve now sold 280 000 policies using our highly acclaimed quote comparative rating engine we ll train you on how to use our famous 30 company quote and illustration system which can now provides accurate quotes in seconds for people with up to 33 common illnesses quotes are automatically e mailed to prospects for you and our new auto requote system even continues to quote prospects regularly in your name as long as you are with us this is how your book of business builds over time and makes your progress and earnings easier and easier you stay entirely paperless at all times because our system is advanced and proven we ve sold 275 000 life policies ourselves using it what s more we do all case management functions for you and keep you informed real time again you stay entirely paperless and focused only on selling this job is fast paced because our call center is so busy you can expect to talk to up to 6 people per hour you ll be asking questions answering questions providing quotes and advice quoting on our 1 rated 30 company quote engine that can even quote up to 30 illnesses assessing family needs giving advice and completing applications we ll train you and even give you the proper scripts to use this is a selling system that works we know because we ve sold 275 000 life policies using this same system it s hard work and very fast paced but very lucrative remember as an independent contractor you can set your own hours all we ask is that you commit to no less than 20 hours per week and schedule them with us ahead of each week with your assigned life quotes sales manager under this program you are free to handle customers from any state in which you are properly licensed and appointed in good standing you must have a life insurance producer license in good standing in your home state to start you must have 1 million of valid agent s e o insurance policy and be able to pass 3 4 hours of basic aptitude tests you can take the first timed 90 minute test right at our website today at http exam lifequotes com public code tce user registration php this is a fun and rewarding job if you like people hate cold calls can sell don t want any marketing costs and like to work at a fast pace with other diverse professionals without having to make cold calls our call center is busy and insurance on the internet is booming our agents cannot handle all the business and so we are expanding about life quotes inc life quotes inc was founded in 1984 and is under same management today kiplinger s has rated us a 1 life insurance site as has forbes in 2009 msn rated us a top 100 website we have an a rating from the better business bureau today we are privately held with lots of capital and no debt life quotes does national advertising and has a great reputation with consumers as a life quotes broker you will gift every customer with a market search of up to 30 leading companies and give every applicant the freedom to buy from the company of their choice customers love the fact that you can instantly shop 30 companies show them the best price and back up your work with our famous 500 lowest price guarantee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life insurance sales from home to 58 500 no cold calling,life insurance sales from home work from your own home or office choose your own days and hours make 20 000 59 000 work full or part time all leads are free and there is no cold calling or prospecting calls pay is excellent take a look 15 per hour actual talk time for first 2 months plus 75 per submission at time application is submitted plus no cold calls no automobile costs no wardrobe costs life quotes inc founded 1984 is a 1 rated national seller of term life insurance we sell about 14 500 life policies per year here we were founded in 1984 have no debt and are under same management this job is perfect for independent life insurance agents who want to work from home work your own days and hours writing appliations be pleasant to our customers and make a great income there s no cost to join and all initial training is free as as independent life agent you will recieve web and telephone leads from us who ve already done their own quotes at www lifequotes com using our scripts and procedures all calls are recorded you will give advice rework quotes write applications set paramed dates and shepard the customer through the submission process this is a fast paced telephone call center kind of gig where you will work our leads using our scripts and procedures on recorded phone calls our call center is very fast paced so keep that in mind as you decide if this is right for you we ll start you out by paying you 15 per hour of actual talk time during your first 2 months with us plus 75 per application submitted note there is no commission payout under this program and all payouts are confined to the hourly talk time and per submission payouts as described here the pay 75 per submission on this program can be very lucrative especially given that you remain independent and are free to work your own days and hours here are some earnings examples submissions per week weekly pay est annualized pay 5 375 19 500 10 750 39 000 15 1 125 58 500 how much time and effort is needed to generate a submission well our top agents tend to write one application for every hour of talk time and once an application is written properly you can assume that 75 80 of those will result in a formal submission however actual result vary widely among agents and you are encourage to attend a sales webinar to learn more and ask questions as any time to see if this program is right for you this pays does equate to about 30 per hour if you can learn to write one application every 2 hours of talk time and develop a good enough personal relationship with our customer to have 80 get submitted we sell 14 500 new life policies per year and we re looking to expand our home based life insurance salesforce beyond our current 90 agents you must be competent trustworthy nice and thorough and be able to pass about 3 hours of basic aptitude and office skilss tests we represent 30 highly rated companies and we re now looking to appoint a few highly qualified and experienced independent life insurance agents to work our fresh and exclusive life insurance leads from your own home or office for parents with kids this is the ultimate part time job there is no cold calling as you will be handling only detailed leads from our website or inbound phone calls there are no lead costs to you and all leads are real fresh and 100 exclusive to you if you can commit 20 hours per week minimum to this independent agent program whereby you will be working our leads using our scripts and procedures on recorded calls please keep reading our outside agent program is exciting especially if you want the freedom to work from home on the days and hours of your choosing subject to 20 hrs per week minimum our national ad campaigns and selected business partners produce up to 750 fresh life insurance leads per day this means that we need experienced life insurance agents to help us handle the load perhaps you ve seen our term life ads in forbes kiplinger s smartmoney fortune usa today and money magazines under this program you ll work our leads using our scripts and procedures on our phone system with all calls being recorded you ll log into our telephone system from your home or office and work fresh life leads on an inbound and outbound basis ongoing training and sales support after that is also always available and free our dialer makes both outbound calls to our website visitors and it also accepts inbound calls from prospects who are calling us for quotes and applications so you will be busy perhaps talking to 50 75 people per day you are free to work the days and hours you want again all with no cold calling and no lead costs to you you must hold a valid life insurance license be able to pass 3 hours of general aptitude tests pass our background checks and have 1 million e o if accepted we ll then even pay you 15 per hour during training which lasts one week we ve now sold nearly 300 000 life policies using our highly acclaimed quote comparative rating engine and this sytem we ll train you on how to use our famous 30 company quote and illustration system which can now provides accurate quotes in seconds for people with up to 35 common illnesses quotes are automatically e mailed to prospects for you and our new auto requote system even continues to quote prospects regularly in your name as long as you are with us this is how your book of business builds over time and makes your progress and earnings easier and easier this job is fast paced because our call center is so busy you can expect to talk to up to 5 people per hour you ll be asking questions answering questions providing quotes and advice quoting on our 1 rated 30 company quote engine that can even quote up to 35 illnesses assessing family needs giving advice and completing applications we ll train you and even give you the proper scripts to use this is a selling system that works we know because we ve sold nearly 300 000 life policies using this same system it s hard work and very fast paced but very lucrative remember as an independent contractor you can set your own working days and hours all we ask is that you commit to no less than 20 hours per week and schedule them with us ahead of each week with your assigned life quotes sales manager under this program you are free to handle customers from any state in which you are properly licensed and appointed in good standing you must have a life insurance producer license in good standing in your home state to start you must have 1 million of valid agent s e o insurance policy and be able to pass 3 4 hours of basic aptitude tests you can take the first timed 90 minute test right at our website today at http exam lifequotes com public code tce user registration php this is a fun and rewarding job if you like people hate cold calls can sell don t want any marketing costs and like to work at a fast pace with other diverse professionals without having to make cold calls our call center is busy and insurance on the internet is booming our agents cannot handle all the business and so we are expanding about life quotes inc life quotes inc was founded in 1984 and is under same management today kiplinger s has rated us a 1 life insurance site as has forbes in 2009 msn rated us a top 100 website we have an a rating from the better business bureau today we are privately held with lots of capital and no debt life quotes does national advertising and has a great reputation with consumers as a life quotes broker you will gift every customer with a market search of up to 30 leading companies and give every applicant the freedom to buy from the company of their choice customers love the fact that you can instantly shop 30 companies show them the best price and back up your work with our famous 500 lowest price guarantee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life insurance sales from home free leads,life insurance sales from home free leads unique and exclusive to you work from your own home or office choose your own days and hours make 50 000 150 000 per year we provide you with free leads and you get paid 23 per hour actual talk time for first 2 months plus 50 per submission at time application is submitted plus huge 30 commission payouts on sold cases no cold calls no automobile costs no wardrobe costs life quotes inc founded 1984 is a 1 rated national seller of term life insurance this job is perfect for life insurance agents brokers financial planners and financial advisors who want to work from home work your own days and hours and make a great income this is a telephone sales gig where you will work our leads using our scripts and procedures on recorded phone calls our call center is very fast paced so keep that in mind as you decide if this is right for you we sell 14 500 new life policies per year and we re looking to expand our home based life insurance salesforce beyond our current 100 agents you must be competent trustworthy nice and thorough we represent 30 highly rated companies and we re now looking to appoint a few highly qualified and experienced independent life insurance agents to work our fresh and exclusive life insurance leads from your own home or office for parents with kids this is the ultimate part time job there is no cold calling as you will be handling only detailed leads from our website or inbound phone calls there are no lead costs to you and all leads are real fresh and 100 exclusive to you if you have one or more years experience in selling life insurance and can commit 30 hours per week minimum during the day to this independent agent program whereby you will be working our leads using our scripts and procedures on recorded calls please keep reading our outside agent program and it is exciting especially if you want the freedom to work from home on the days and hours of your choosing subject to 30 hrs per week minimum our national ad campaigns and selected business partners produce up to 750 fresh life insurance leads per day this means that we need experienced life insurance agents to help us handle the load perhaps you ve seen our term life ads in forbes kiplinger s smartmoney fortune usa today and money magazines our average policy face value sold is 375 000 and our average first year premium is 750 most of our sales involve you setting a paramed exam fifty percent of our customers buy 20 year level term life policies under this program you ll work our leads using our scripts and procedures on our phone system with all calls being recorded you ll log into our telephone system from your home or office and work fresh life leads on an inbound and outbound basis we ll teach you how to do this in a 15 hour webinar course which is free ongoing training and sales support after that is also always available and free our dialer makes both outbound calls to our website visitors and it also accepts inbound calls from prospects who are calling us for quotes so you will be busy perhaps talking to 50 75 people per day you are free to work the days and hours you want again all with no cold calling and no lead costs to you you must hold a valid life insurance license be able to pass 3 4 hours of general aptitude tests pass our background checks and have 1 million e o if accepted we ll then even pay you 10 during training which lasts one week earnings example 1 part time say you sold 15 policies per month at 700 apiece and let s our average commission was 105 on those sales you d then make 210 per policy sold or 3 300 that month or 40 000 per year without including start up talk time or the 50 per submit payouts all with no office lead or marketing costs all commissions are paid on actual earned commissions that we receive so if the customer pays annually we pay out the full commission to you earnings example 2 full time say you sold 2 policies per day or 40 per month and earned 210 per policy not including 23 per hour start up payments or 50 per submit payments that comes to 8 400 in monthly earnings or 101 000 on an annualized basis again not including the 23 per hour talk time payments and the 50 per submit payments remember the above earnings calculations includes us paying you 23 per hour of actual talk time during your first 2 months of training or the 50 per submit payouts if you talked for 30 hours per week during your first 60 days you ll pocket a cool 5 900 in talk time payments alone during your first 60 days see outside agreement for more compensation details you ll have a dedicated sales manager at this end and all calls are recorded and quality graded under this program ownership of all leads and customers remains with us at all times because you are working our leads and customers and we ll give you 15 hours of free initial training and all the ongoing training you need again always for free on this program you ll handle both inbound and outbound calls on our master phone system that automatically allocates fresh and exclusive life leads to you when you are logged in and in ready mode sound simple our national ads generate up to 750 fresh life leads per day so the lines are active in fact we ve now sold 280 000 policies using our highly acclaimed quote comparative rating engine we ll train you on how to use our famous 30 company quote and illustration system which can now provides accurate quotes in seconds for people with up to 33 common illnesses quotes are automatically e mailed to prospects for you and our new auto requote system even continues to quote prospects regularly in your name as long as you are with us this is how your book of business builds over time and makes your progress and earnings easier and easier you stay entirely paperless at all times because our system is advanced and proven we ve sold 275 000 life policies ourselves using it what s more we do all case management functions for you and keep you informed real time again you stay entirely paperless and focused only on selling this job is fast paced because our call center is so busy you can expect to talk to up to 6 people per hour you ll be asking questions answering questions providing quotes and advice quoting on our 1 rated 30 company quote engine that can even quote up to 30 illnesses assessing family needs giving advice and completing applications we ll train you and even give you the proper scripts to use this is a selling system that works we know because we ve sold 275 000 life policies using this same system it s hard work and very fast paced but very lucrative remember as an independent contractor you can set your own hours all we ask is that you commit to no less than 20 hours per week and schedule them with us ahead of each week with your assigned life quotes sales manager under this program you are free to handle customers from any state in which you are properly licensed and appointed in good standing you must have a life insurance producer license in good standing in your home state to start you must have 1 million of valid agent s e o insurance policy and be able to pass 3 4 hours of basic aptitude tests you can take the first timed 90 minute test right at our website today at http exam lifequotes com public code tce user registration php this is a fun and rewarding job if you like people hate cold calls can sell don t want any marketing costs and like to work at a fast pace with other diverse professionals without having to make cold calls our call center is busy and insurance on the internet is booming our agents cannot handle all the business and so we are expanding about life quotes inc life quotes inc was founded in 1984 and is under same management today kiplinger s has rated us a 1 life insurance site as has forbes in 2009 msn rated us a top 100 website we have an a rating from the better business bureau today we are privately held with lots of capital and no debt life quotes does national advertising and has a great reputation with consumers as a life quotes broker you will gift every customer with a market search of up to 30 leading companies and give every applicant the freedom to buy from the company of their choice customers love the fact that you can instantly shop 30 companies show them the best price and back up your work with our famous 500 lowest price guarantee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on air video talent wanted 175 per day,life quotes inc in darien seeks on air video talent independent contractor position can pay up to 175 per day life quotes inc in darien a 1 rated national insurance brokerage is now interviewing part time on air video talents who can also assist with editing using final cut you must have on air video and or broadcast epxerience and own a mac and have your own working version of final cut we need to shoot and edit several hundred short 1 3 minute insurance oriented videos and can pay a day rate of up to 175 per day for the right candidate who can help us with on air reads much like a newscast and help us with editing as a part time independent contractor we have about 600 such videos now live at www lifequotes com and want to add some 400 more very quickly life quotes inc was founded in 1984 and operates a 1 ranked insurance website we are now elevating a new articles library and want a companion video attached to each one we have hundreds of newly shot videos that need your editing skills the position is part time independent contractor with flexible hours and your day rate pay is entirely negotiable depending upon your experience level as an on air personality and your skills as a final cut editor we re interested in your on camera delivery and your editing skills check us out at http www lifequotes com plus with only 90 employees we have a small company culture where you can truly make a difference our site was named a top 100 most useful website by msn money in april 2009 and we have an a rating with the better business bureau if you are interested in learning more please e mail me a cover letter your resume and a link to some of your video work feel free to give me a call if you have any questions sincerely michelle matlock managing editor mmatlock lifequotes com phone 630 515 0170 ext 335 p s life quotes formerly insure com is a safe solid 26 year old company with lots of capital and no debt we were founded in 1984 have an a grade by the better business bureau and have been a 1 life insurance website by kiplinger s and forbes in april 2009 msn money named us a top 100 most useful website and in in may 2009 crain s chicago business ranked us as one of the largest public companies in chicagoland come make insurance history with us by helping us bring our video project to market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java j2ee software engineer developer,riverside technical services is seeking several qualified java j2ee developers to support our client in melbourne fl on a regular basis the java developers will ¢ design and implement object oriented java software solutions for a movement planning system to optimize traffic through a rail network ¢ define and execute unit sub system and system tests to validate system behavior ¢ work closely with cross functional teams to understand requirements as well as perform system testing ¢ document technical data generated by the assigned project consistent with engineering policies and procedures ¢ provide timely communications on significant issues or developments ¢ participate on teams assigned to address organizational initiatives and generic issues ¢ participate as a reviewer in technical and program reviews java java ee jee j2ee jboss esb ejb hibernate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software test engineer manual tester,riverside technical services is seeking several qualified software test engineers to support our client in melbourne fl the applications under test are windows unix and linux dispatching systems as well as windows command control scheduling systems systems are developed in c c vb net java and other languages software test engineers will have a lot of interaction between software systems and test teams communicate with customers regarding change request develop test cases test procedures test plans participate in peer reviews ideal candidates must have strong manual testing experience of large software systems it is possible for this position to support multiple product lines this will be a long term assignment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
application project engineer,andritz separation inc asi has an immediate need for an application project engineer in our florence ky location asi is a leading manufacturer of process equipment for the chemical and pharmaceutical industries mainly in the field of solid and liquid separation candidates should be highly motivated self directed individuals with a strong mechanical aptitude experience in reading engineering drawings and able to manage multiple tasks at one time candidates must have a bachelor ™s degree in chemical engineering candidates must be competent in word excel outlook ppt experience with autocad visio and sap are a plus asi offers a competitive compensation and benefits package asi is an equal opportunity employer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retail store manager,if you ™re looking for a fast paced challenging and collaborative work environment at a company dedicated to being one of the world ™s most recognized and trusted brands then this job is for you this is a great opportunity for a talented individual to join hallmark retail “ corporate stores a subsidiary of hallmark cards inc the mission of the corporate stores is to bring the hallmark image to life in a world class specialty retail environment hallmark is reinventing its specialty retail channel for the future with a renewed focus on the retail business as the future of the specialty retail channel unfolds the entire store staff has an exciting opportunity to see the changing image store managers are responsible for managing all operational aspects of a company owned retail store the primary objective will be to achieve or exceed sales plan for the store this will be accomplished by developing excellent customer service developing and executing events and services effective management and development of human resources efficient payroll management and pro active loss prevention management the corporate stores offer a competitive compensation package including 401 k medical dental vision life insurance a manager bonus program and much more equal opportunity employer m f d v principals only please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs product picker,primary function the product picker is responsible for filling customer orders and delivering them to the shipping area in a manner that meets company standards for accuracy safety security and productivity the product picker is also responsible for the completeness and correctness of all orders filled essential functions order picking efficiently pick customer orders for shipment ensuring that the correct number and type of product is loaded and shipped assemble various types of merchandise for shipment carry or transport orders to shipping locations or delivery dock with materials handling equipment tag or mark orders as requested repack repack and weigh any orders that require such handling when necessary report quality variances quality ensure outbound shipments are accurate and free of damage equipment operate order picking equipment required to meet productivity standards on a daily basis inspect and perform minor maintenance on the equipment safety sanitation security maintain a clean neat and orderly work area assist in maintaining the security of the warehouse conduct operations in a manner that is efficient safe and error free comply with osha and msds standards must maintain a good attendance record non essential functions conduct physical inventories as required perform any other tasks as assigned working environment the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this position the employee will be subject to a typical warehouse environment heat cold hard floors and is often exposed to outside weather conditions the employee must be able to stand for long periods of time aptitudes preferred analytical skills resourceful and well organized good grammar verbal and writing skills high energy comfortable performing multifaceted projects in conjunction with day to day activities excellent interpersonal abilities ability to get along with diverse personalities tactful mature and flexible ability to establish credibility and be decisive but be able to recognize and support the organization s preferences and priorities service oriented but assertive persuasive interactions interacts with all levels of management external vendors and customers as well as company employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wm quality engineer,primary function the quality engineer is responsible to identify opportunities to continually make improvements to product quality and consistency via analyzing data from various input sources employing the capa program with suppliers and working with medical device and drug suppliers to improve their production process capability contributes to product development product qualification and test activities supports supplier selection and audit program incoming inspection processes and non conformance investigation and disposition as required maintains active involvement in the implementation and maintenance of company quality assurance systems and programs in support of business functions preferred office machine equipment experience proficient with personal computing including word processing ms word spreadsheets ms excel ms access powerpoint printers copiers fax machine calculator internet intranet and electronic mail expertise with statistics software such as minitab or statgraphics a plus non essential functions perform any other duties as assigned working environment the physical demands described here are representative of those that must be met by an employee to successfully perform the essential function of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this position the employee is subject to a typical office environment and is rarely exposed to outside weather conditions work activities may require travel on occasion the employee is frequently required to sit the noise level in the work environment is usually low to moderate aptitudes preferred excellent grammar verbal and writing skills excellent statistics skills using software such as minitab or statgraphics excellent telephone skills and computer knowledge high energy level with a sense of urgency comfortable performing multifaceted projects in conjunction with day to day activities good reasoning abilities and sound judgment resourceful well organized highly dependable efficient and detail oriented ability to establish credibility and be decisive good interpersonal skills ability to speak effectively before groups of employees including management personnel interactions employee will attend and participate in a variety of meetings with functional workgroups to integrate activities and communicate issues obtain approvals resolve problems and maintain a working level of knowledge pertaining to products new developments requirements and policies employee will interact with employees at all levels including management in both domestic and international offices employee will also interact directly with both international and domestic supplier relationships,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sr business analyst,provide fiscal and schedule administration of direct contract accounts including budgeting estimates at completion forecasting earned value and applicable analysis and reporting prepare and present recommendations to management based on financial planning data act as primary department resource between accounting business planning program management and operational management on financial and performance issues 60 perform budgeting forecasting forward pricing estimates and performance measurement system status and maintenance utilizing computers systems as required to perform assignments and to communicate effectively both verbally and in writing 20 review and analyze status progress and prepare variance analysis reports apprising management of trends and anomalies which effect performance 10 evaluate prioritize and categorize data in various forms and formats using proper accounting principles practices and procedures 5 utilize organizational skills to effectively coordinate schedules and work flow utilizing the knowledge of operations manufacturing engineering test etc as required to accomplish assigned activities and an understanding of business management systems 5 using knowledge of governmental accounting methods procedures and regulations determine solutions to objectives demonstrating a complete understanding and application of principles concepts and practices bachelor s degree in business or accounting and six years of directly related experience or an equivalent combination of education and experience this six years experience to include at least two years of transactional accounting audit or business analysis experience to include performance in business operations including experience with cost accounting standards performance measurement systems and command media have a working knowledge of generally accepted accounting principles federal acquisition regulations far and contracting requirements requires u s citizenship u s permanent residency or other status as a u s person eoe m f d v,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nursing supervisor surgery,facility palomar medical center escondido ca department surgery 207420 ¢ full time 12 ¢ night ¢ rn license ¢ req 12002 provides tactical support to meet the goals and objectives of the organization and service for the assigned shift responsible for the assessment evaluation discipline coaching and monitoring of staff functions in a leadership role contributing to the efficient and effective operations of the service maintains clinical competency and utilizes the nursing process when carrying out clinical duties assures that care equipment and services provided are appropriate for the ages and needs of the population served ensures ongoing regulatory readiness of the staff and service participating in chart reviews monitoring and other performance improvement activities as assigned adheres to the highest customer service standards and hold staff accountable for the same provides prompt service recovery when indicated understands and adheres to the california nurse practice act the american nurses association ana code of ethics for nurses the ana bill of rights for registered nurses and the ana scope and standards of practice for nursing performs other duties as assigned follows palomar health rules policies procedures applicable laws and standards carries out the mission vision values and quality commitment of palomar health job requirements minimum education bachelor s degree in nursing or equivalent combination of education and experience preferred education not applicable minimum experience 3 years related clinical experience preferred experience 3 5 years progressive supervisory experience prior financial management required certification american heart association recognized advanced cardiac life support american heart association recognized bls healthcare provider preferred certification certified nurse operating room required license current ca rn license preferred license not applicable,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
